customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureSegment,SpendTier,TotalRevenue,TotalRevenueLog,ServiceCount,ContractRiskScore,AvgMonthlySpend
7731-VXQEZ,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,105.64,1602.38,No,Regular,High,1602.38,7.379869180037231,4,3,106.82533333333335
1397-KAJTN,Male,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,92.66,5515.29,No,Loyal,Medium,5515.29,8.615460811860435,3,2,93.47949152542373
3005-FLPDH,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,42.05,2841.13,No,Loyal,Low,2841.13,7.952309050045797,2,2,41.781323529411765
9793-HXVRM,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.98,1035.72,No,Regular,Low,1035.72,6.943817162127159,1,1,43.155
3006-MJJQA,Male,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),41.68,1446.82,No,Regular,Low,1446.82,7.2778142558263434,2,3,41.337714285714284
1414-UBBJD,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.73,792.05,Yes,New,Medium,792.05,6.675886271349569,4,3,72.00454545454545
4073-BXGDS,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.77,1344.1,Yes,Regular,High,1344.1,7.204223638714536,4,3,103.39230769230768
7232-GPRMJ,Male,0,No,No,72,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,98.5,7102.62,Yes,Loyal,High,7102.62,8.86835979225032,5,3,98.6475
4274-KDPBN,Female,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.38,2145.44,Yes,Loyal,Low,2145.44,7.671565934793155,1,3,36.363389830508474
8314-RHARJ,Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.6,3182.69,No,Regular,High,3182.69,8.06579618041526,6,3,109.74793103448276
3646-LFLNM,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,118.75,1419.39,No,New,High,1419.39,7.258686760773804,6,1,118.28250000000001
2500-AETRK,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.78,2148.16,No,Regular,High,2148.16,7.672832347105068,4,3,107.40799999999999
6059-SFBJP,Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.4,597.54,No,New,High,597.54,6.394493356515796,3,3,99.58999999999999
2526-CWGTW,Female,1,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,38.73,1084.55,No,Regular,Low,1084.55,6.989842049980246,2,2,38.73392857142857
7226-QSQCS,Female,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,31.47,No,New,Low,31.47,3.4803165861147547,0,2,15.735
3369-SBYCZ,Male,0,No,No,62,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,88.06,5450.58,No,Loyal,Medium,5450.58,8.603660753898891,5,2,87.91258064516128
3274-QZSRD,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.44,2832.78,No,Regular,Medium,2832.78,7.94936678844413,6,3,94.426
6435-UWRXS,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.15,3041.09,No,Loyal,Low,3041.09,8.020300058180403,2,1,42.23736111111111
1737-XZYVT,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,86.02,1292.6,No,Regular,Medium,1292.6,7.165184308262897,2,1,86.17333333333333
6963-RQGHG,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.63,5350.75,No,Loyal,Medium,5350.75,8.585178889207333,3,3,74.31597222222223
7672-QRZBD,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.22,3097.07,No,Regular,High,3097.07,8.03853461594427,5,3,96.7834375
2249-SJSQG,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),71.64,1364.47,No,Regular,Low,1364.47,7.219253970698048,3,2,71.81421052631579
5196-CJWTL,Male,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.59,1585.69,No,Loyal,Low,1585.69,7.369405364331579,0,3,22.33366197183099
3847-LYVUH,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,78.46,2361.26,No,Regular,Medium,2361.26,7.767374066905971,4,3,78.70866666666667
1496-ZMNMP,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,44.05,444.63,No,New,Low,444.63,6.0994890113019675,1,2,44.463
9388-EEECF,Male,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),92.45,5272.6,No,Loyal,Medium,5272.6,8.570468520275098,2,2,92.50175438596492
4213-WZQGG,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,105.94,7648.94,Yes,Loyal,High,7648.94,8.94245308365257,3,3,106.23527777777777
7444-SYTLV,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.31,2756.83,No,Regular,Medium,2756.83,7.922199417584748,2,3,86.1509375
8137-DQDNM,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.96,323.98,No,New,Low,323.98,5.78376364197463,2,1,40.4975
7127-HJDWW,Male,0,Yes,No,38,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,78.52,2983.25,No,Regular,Medium,2983.25,8.001103737975148,4,2,78.50657894736842
3923-BWVMS,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,102.71,2254.25,No,Regular,High,2254.25,7.721016110536748,2,2,102.4659090909091
3786-SCRDT,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,95.28,4003.09,No,Regular,High,4003.09,8.295071617704973,3,2,95.31166666666667
