customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7731-VXQEZ,,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,105.64,1602.38,No
1397-KAJTN,Male,0,No,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,92.66,5515.29,No
3005-FLPDH,Male,0,No,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,42.05,2841.13,No
9793-HXVRM,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.98,1035.72,No
3006-MJJQA,Male,0,No,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),41.68,1446.82,No
1414-UBBJD,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.73,792.05,Yes
4073-BXGDS,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.77,1344.1,Yes
7232-GPRMJ, Male ,0,No,No,72,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,98.5,7102.62,Yes
4274-KDPBN,Female,0,Yes,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.38,2145.44,Yes
8314-RHARJ,Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,109.6,3182.69,No
3646-LFLNM,Male,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,118.75,1419.39,No
2500-AETRK,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.78,2148.16,No
6059-SFBJP,Male,0,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.4,597.54,No
2526-CWGTW,Female,1,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,38.73,1084.55,No
7226-QSQCS,Female,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,31.47,No
3369-SBYCZ,Male,0,No,No,62,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,88.06,5450.58,No
3274-QZSRD,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),93.44,2832.78,No
6435-UWRXS,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),42.15,3041.09,No
1737-XZYVT,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,86.02,1292.6,No
6963-RQGHG,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.63,5350.75,No
7672-QRZBD,Female,0,No,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.22,3097.07,No
2249-SJSQG,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),71.64,1364.47,No
5196-CJWTL,Male,0,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.59,1585.69,No
3847-LYVUH,Female,0,Yes,Yes,30,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,78.46,2361.26,No
1496-ZMNMP,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,44.05,444.63,No
9388-EEECF,Male,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),92.45,5272.6,No
4213-WZQGG,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,105.94,7648.94,Yes
7444-SYTLV,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.31,2756.83,no
8137-DQDNM,Female,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),38.96,323.98,No
7127-HJDWW,Male,0,Yes,No,38,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,78.52,2983.25,No
3923-BWVMS,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,102.71,2254.25,No
3786-SCRDT,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,95.28,4003.09,No
9762-JNYPU,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,92.95,1863.67,Yes
2431-FWXLT,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.75,8556.6,No
8569-YJHPT,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),73.27,3831.01,No
8379-HSMWM,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.76,1755.54,Yes
4440-ZQGUX,Female,0,No,No,15,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.32,1255.12,No
6397-XJWVL, Male ,0,Yes,No,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),88.91,3298.62,No
7192-PPCMV,Female,1,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.94,736.72,No
6649-MUYME,Female,0,No,Yes,38,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,43.95,1669.78,Yes
1239-YAARB,Male,0,No,Yes,7,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,75.43,529.16,No
8878-VDHVX,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,98.64,1687.61,No
8160-VCFAW,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.56,2802.41,No
5275-RCFWY,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.33,2457.23,No
3990-VZECS,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),100.25,3124.58,No
7172-WHPKU,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,99.61,989.96,No
9300-BKKEX,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),100.93,578.21,No
9107-YMAAQ,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,116.26,6756.79,No
5802-MMFKX,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,74.23,2139.88,No
2780-DSEMJ,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.16,502.39,No
8664-FLBAE,Male,0,Yes,Yes,72,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,71.77,5153.81,No
